lon;lat;Model1;Model2;Model3;GSMaP
96,75 ;-4,50 ;16,97;22,34;11;10,56
96,75 ;-4,38 ;15,88;20,58;10,28;10,56
96,75 ;-4,25 ;15,19;20,11;10,67;9,12
96,75 ;-4,13 ;13,28;20,64;11,16;9,36
96,75 ;-4,00 ;12,69;20,2;13,62;8,64
96,75 ;-3,88 ;13,53;21,97;15,03;5,28
96,75 ;-3,75 ;13,44;23,34;16,02;2,16
96,75 ;-3,63 ;12,59;22,22;16,64;1,68
96,75 ;-3,50 ;12,53;21,39;17,05;3,36
96,75 ;-3,38 ;15,12;19,69;15,22;4,56
96,75 ;-3,25 ;15,56;18,08;13,59;3,6
96,75 ;-3,13 ;15,44;17,44;12,19;4,32
96,75 ;-3,00 ;15,34;16;9,86;7,2
96,75 ;-2,88 ;15,59;14,47;11,33;6,72
96,75 ;-2,75 ;14,31;13,59;13,11;5,28
96,75 ;-2,63 ;13,41;11,62;11,69;5,04
96,75 ;-2,50 ;13,75;11,81;11,45;4,08
96,75 ;-2,38 ;13,78;8,52;12,16;2,4
96,75 ;-2,25 ;14,66;8,61;13,67;1,92
96,75 ;-2,13 ;14,31;8,16;12,42;2,16
96,75 ;-2,00 ;13,72;10,22;11,81;0,48
96,75 ;-1,88 ;14,25;11,52;11,7;0,48
96,75 ;-1,75 ;14,56;13,34;10,77;1,44
96,75 ;-1,63 ;14,53;14,69;11,64;12,24
96,75 ;-1,50 ;14,03;15,36;12,36;22,32
96,75 ;-1,38 ;15,12;15,95;12,31;24
96,75 ;-1,25 ;14,47;14,55;12,38;26,64
96,75 ;-1,13 ;16,34;13,03;11,94;32,64
96,75 ;-1,00 ;16,09;13,88;11,22;24,96
96,75 ;-0,88 ;15,84;14,55;11,31;22,56
96,75 ;-0,75 ;16,28;13,47;10,08;13,2
96,75 ;-0,63 ;16,16;14,58;9,2;14,88
96,75 ;-0,50 ;16,19;14,2;8,28;24
96,75 ;-0,38 ;14,22;12,14;9,28;26,4
96,75 ;-0,25 ;14,59;12,92;12,89;26,4
96,75 ;-0,13 ;13,22;10,73;11,52;16,56
96,75 ;0,00 ;13,38;11,09;10,05;5,76
96,75 ;0,13 ;13,59;10,5;8,88;8,4
96,75 ;0,25 ;12,41;11,72;7,81;8,64
96,75 ;0,38 ;14,59;12,3;9,03;7,44
96,75 ;0,50 ;13,22;11,22;7,06;9,12
96,75 ;0,63 ;13,97;13,98;7,88;25,92
96,75 ;0,75 ;13,34;11,39;9,16;32,88
96,75 ;0,88 ;12,09;11,3;11,36;46,56
96,75 ;1,00 ;11,56;10,06;12,98;54,48
96,75 ;1,13 ;11,81;12;11,69;60,72
96,75 ;1,25 ;11,41;13,22;11,12;61,44
96,75 ;1,38 ;10,31;11,95;10,27;55,2
96,75 ;1,50 ;11,44;12,36;8,31;30,72
96,75 ;1,63 ;10,09;10,48;8,16;26,4
96,75 ;1,75 ;12,19;11,8;9,11;32,64
96,75 ;1,88 ;11,56;11,34;8,78;31,68
96,75 ;2,00 ;9,62;11,39;9,34;15,36
96,75 ;2,13 ;7,41;10,14;8,17;7,92
96,75 ;2,25 ;8;10,2;8,58;5,28
96,75 ;2,38 ;11;10,8;9,67;0,24
96,75 ;2,50 ;10,81;7,73;8;0
96,75 ;2,63 ;10,84;10,95;10;0
96,75 ;2,75 ;9,5;10,34;9,03;0,48
96,75 ;2,88 ;8,5;9,84;7,92;3,12
96,75 ;3,00 ;8,78;8,03;6,19;3,6
96,75 ;3,13 ;14,53;13,58;7,88;2,88
96,75 ;3,25 ;10,19;11,52;6,98;2,88
96,75 ;3,38 ;9,28;9,3;4,7;1,44
96,75 ;3,50 ;14,31;14,77;10;2,88
96,75 ;3,63 ;11,97;9,66;3,56;4,8
96,75 ;3,75 ;11,66;8,23;5,61;4,32
96,75 ;3,88 ;15,72;6,36;5,66;0,24
96,75 ;4,00 ;14,84;8,53;6,69;1,68
96,75 ;4,13 ;8,91;7,38;3,72;0,72
96,75 ;4,25 ;4,56;4,08;3,69;1,68
96,75 ;4,38 ;4,62;0,91;1,17;0
96,75 ;4,50 ;2,31;0,66;0,95;2,64
96,75 ;4,63 ;4,06;0,77;0,72;5,04
96,75 ;4,75 ;7,19;1,72;0,81;7,92
96,75 ;4,88 ;8,41;7,5;5,61;3,84
96,75 ;5,00 ;4,28;5,16;3,89;7,92
96,75 ;5,13 ;7,56;6,95;9,42;16,56
96,75 ;5,25 ;2,78;5,98;6,64;22,32
96,75 ;5,38 ;2,53;3,36;2,8;24
96,75 ;5,50 ;6,62;14,38;4,97;17,04
96,75 ;5,63 ;8,66;6,78;4,34;16,8
96,75 ;5,75 ;4,09;3,86;4,48;26,88
96,75 ;5,88 ;15,56;9,94;8,47;21,84
96,75 ;6,00 ;4,38;5,05;3,38;10,8
96,75 ;6,13 ;11,53;7,55;6,38;9,84
96,75 ;6,25 ;8,03;4,09;6,23;8,64
96,75 ;6,38 ;5,97;5,17;4,92;7,92
96,75 ;6,50 ;8,41;7,23;6,08;4,56
96,75 ;6,63 ;6,69;6,66;5,62;2,88
96,75 ;6,75 ;7,72;7,66;6,75;2,16
96,75 ;6,88 ;6,44;5,47;5,58;0,72
96,75 ;7,00 ;7,31;6,06;7,22;0,48
96,75 ;7,13 ;6,31;6,27;6,09;0
96,75 ;7,25 ;6,19;6,89;6,83;0
96,75 ;7,38 ;6,56;7,77;7,62;0
96,75 ;7,50 ;7,34;6,8;7,02;0
96,75 ;7,63 ;9,16;8,77;8,69;0
96,75 ;7,75 ;8,56;9,34;9,28;0
96,75 ;7,88 ;8,19;10,61;10,55;0,24
96,75 ;8,00 ;9,44;11,3;12,03;0
96,75 ;8,13 ;9,97;10,83;11,33;0
96,75 ;8,25 ;9,78;11,94;10,98;0
96,75 ;8,38 ;10,09;11,59;11,66;0
96,75 ;8,50 ;11,56;11,12;11,33;0
96,75 ;8,63 ;12,34;9,34;11,36;0
96,75 ;8,75 ;12,59;10,12;10,58;0
96,75 ;8,88 ;11,16;10,89;11,52;0
96,75 ;9,00 ;9,41;11,73;12,14;0
96,75 ;9,13 ;8,06;11,06;12,28;0
96,75 ;9,25 ;7,97;10,08;10,66;0
96,75 ;9,38 ;8,5;10,22;10,34;0
96,75 ;9,50 ;7,69;9,86;8,34;0
96,75 ;9,63 ;6,5;9,77;9,16;0
96,75 ;9,75 ;5,81;10,17;10,3;0
96,75 ;9,88 ;5,22;10,56;10,19;0
96,75 ;10,00 ;5,62;10,75;9,05;0
96,88 ;-10,00 ;31,5;45,45;30,66;37,2
96,88 ;-9,88 ;26,59;42,8;31,38;36,24
96,88 ;-9,75 ;22,5;43,09;28,41;38,4
96,88 ;-9,63 ;20,22;44,67;27,19;39,84
96,88 ;-9,50 ;20,44;42,8;26,52;27,12
96,88 ;-9,38 ;19,44;43,5;29,42;22,32
96,88 ;-9,25 ;18,91;43,66;29,84;24,24
96,88 ;-9,13 ;17,41;43,45;27,58;23,28
96,88 ;-9,00 ;19,09;42,81;27,66;22,08
96,88 ;-8,88 ;20,59;48,06;28,12;18,24
96,88 ;-8,75 ;19,59;59,44;29,34;25,2
96,88 ;-8,63 ;19,91;57,5;30,03;29,04
96,88 ;-8,50 ;20,62;52,69;30,78;29,76
96,88 ;-8,38 ;20,75;51,45;32,14;30,72
96,88 ;-8,25 ;20,53;50,22;33,5;27,84
96,88 ;-8,13 ;18,69;48,17;32,12;28,32
96,88 ;-8,00 ;18,53;46,31;43,88;14,64
96,88 ;-7,88 ;19,59;45,75;69,94;14,16
96,88 ;-7,75 ;18,59;41,97;80,69;17,76
96,88 ;-7,63 ;18,47;38,83;51,92;19,2
96,88 ;-7,50 ;19,28;37,11;29,44;26,16
96,88 ;-7,38 ;21,25;32,81;24,67;35,04
96,88 ;-7,25 ;19,84;29,75;23,19;28,08
96,88 ;-7,13 ;17,44;26,62;21,59;29,76
96,88 ;-7,00 ;16,72;27,67;20,03;20,88
96,88 ;-6,88 ;17,88;28,23;20,95;17,76
96,88 ;-6,75 ;19,5;28,55;20,17;15,12
96,88 ;-6,63 ;19,69;28,67;18,7;14,64
96,88 ;-6,50 ;20,38;31,03;18,58;15,36
96,88 ;-6,38 ;20,12;28,31;18,53;14,16
96,88 ;-6,25 ;18,91;29,14;19,33;13,68
96,88 ;-6,13 ;16,12;30,66;19,52;12,96
96,88 ;-6,00 ;15,5;30,5;20,31;11,04
96,88 ;-5,88 ;13,69;30,55;19,97;10,08
96,88 ;-5,75 ;12,41;29,33;20,84;7,68
96,88 ;-5,63 ;14,22;29,09;21,62;7,44
96,88 ;-5,50 ;15,09;28,94;23,73;5,28
96,88 ;-5,38 ;15,09;31,08;18;5,28
96,88 ;-5,25 ;15,75;30,34;12,42;7,68
96,88 ;-5,13 ;16,09;30,77;11,86;7,2
96,88 ;-5,00 ;15,31;29,98;13,45;10,08
96,88 ;-4,88 ;14,78;26,41;14,12;8,64
96,88 ;-4,75 ;15;23,42;15,23;9,84
96,88 ;-4,63 ;15,59;21,41;15,02;6,96
96,88 ;-4,50 ;15,12;21,45;14,75;11,28
96,88 ;-4,38 ;14,06;21,41;13,72;11,04
96,88 ;-4,25 ;13,12;21,39;11,56;10,56
96,88 ;-4,13 ;12,31;21,44;13,44;10,32
96,88 ;-4,00 ;12,66;23,02;17,06;14,88
96,88 ;-3,88 ;12,56;24,09;18,14;9,6
96,88 ;-3,75 ;12;22,2;16,33;6
96,88 ;-3,63 ;11,25;21,22;15,31;4,8
96,88 ;-3,50 ;12,03;18,25;13,69;2,88
96,88 ;-3,38 ;14,72;16,66;14,28;3,6
96,88 ;-3,25 ;15,12;16,7;13,09;4,56
96,88 ;-3,13 ;15,06;15,3;10,86;6,24
96,88 ;-3,00 ;15,28;14,95;8,47;9,84
96,88 ;-2,88 ;15,16;14,61;9,17;10,32
96,88 ;-2,75 ;13;13,28;11,86;9,12
96,88 ;-2,63 ;12,78;11,88;12,77;7,2
96,88 ;-2,50 ;12,09;11,22;11,38;4,32
96,88 ;-2,38 ;12,12;9,31;12,78;2,88
96,88 ;-2,25 ;13,44;9,84;13,5;2,64
96,88 ;-2,13 ;12,72;9,86;12,56;3,6
96,88 ;-2,00 ;13,34;11,33;12,58;4,32
96,88 ;-1,88 ;14,47;11,27;12,48;3,84
96,88 ;-1,75 ;14,38;12,89;11,7;0,72
96,88 ;-1,63 ;14,38;14,38;12,23;0,72
96,88 ;-1,50 ;13,09;14,47;12,14;22,08
96,88 ;-1,38 ;13,56;14,38;12,88;24,24
96,88 ;-1,25 ;14;12,83;11,95;25,44
96,88 ;-1,13 ;14,75;11,44;11,3;35,04
96,88 ;-1,00 ;14,5;13,05;11,38;28,8
96,88 ;-0,88 ;14,97;13,19;12,59;25,44
96,88 ;-0,75 ;15;11,17;10,66;13,92
96,88 ;-0,63 ;14,66;13,14;9,12;9,12
96,88 ;-0,50 ;15,06;13,83;9,94;20,88
96,88 ;-0,38 ;13,97;12,64;9,5;24,96
96,88 ;-0,25 ;14,09;12,52;11,77;21,36
96,88 ;-0,13 ;13,06;11,27;10,88;11,28
96,88 ;0,00 ;13,38;12,11;9,03;5,28
96,88 ;0,13 ;13,16;11,67;9,23;8,88
96,88 ;0,25 ;11,41;11,55;9,44;13,92
96,88 ;0,38 ;13,03;12;9,73;12,72
96,88 ;0,50 ;12,72;11,23;8,88;10,56
96,88 ;0,63 ;13,28;13,36;10,38;18
96,88 ;0,75 ;11,66;10,25;9,72;29,28
96,88 ;0,88 ;12,31;10;12,12;49,2
96,88 ;1,00 ;11,88;10,56;11,94;27,84
96,88 ;1,13 ;11,5;12,09;11,84;0
96,88 ;1,25 ;11,56;13,8;11,69;0
96,88 ;1,38 ;9,06;11,41;9,95;0
96,88 ;1,50 ;10,47;12,56;9,36;0
96,88 ;1,63 ;10,03;11;8,94;0,24
96,88 ;1,75 ;10,62;12,2;10,42;3,6
96,88 ;1,88 ;9,03;12,56;9,86;7,92
96,88 ;2,00 ;9,06;12,98;9,8;0
96,88 ;2,13 ;7,59;11,23;9,39;0,24
96,88 ;2,25 ;8,75;11,14;9,77;1,92
96,88 ;2,38 ;10,09;10,75;8,95;2,16
96,88 ;2,50 ;9,41;9,09;8,17;1,92
96,88 ;2,63 ;10,38;12,55;9,84;0,48
96,88 ;2,75 ;8,69;10,64;7,91;2,4
96,88 ;2,88 ;11,12;11,3;9,47;4,56
96,88 ;3,00 ;13,16;13,52;10,67;3,12
96,88 ;3,13 ;11,06;11,97;7,03;1,92
96,88 ;3,25 ;9,19;8,31;3,27;0,24
96,88 ;3,38 ;13,62;13,52;8,16;0
96,88 ;3,50 ;14,03;16,28;6,09;0
96,88 ;3,63 ;19,22;13,45;5,78;0
96,88 ;3,75 ;31,84;13,34;18,55;2,64
96,88 ;3,88 ;22,31;6,66;10,12;0
96,88 ;4,00 ;17,12;7,3;9,92;0
96,88 ;4,13 ;7,34;4,33;2,92;0
96,88 ;4,25 ;4,25;2,62;2,19;0
96,88 ;4,38 ;1,97;1,91;1,5;0
96,88 ;4,50 ;4,28;2,05;1,56;2,64
96,88 ;4,63 ;7,88;1,48;1,41;5,28
96,88 ;4,75 ;7;4,05;1,22;8,16
96,88 ;4,88 ;1,78;2,55;0,81;7,92
96,88 ;5,00 ;14,97;15,94;15,47;15,6
96,88 ;5,13 ;8,66;9,11;10,27;17,52
96,88 ;5,25 ;11,81;5,64;4,19;18
96,88 ;5,38 ;1,44;3,7;5,08;18,96
96,88 ;5,50 ;6,28;4,2;6,78;13,2
96,88 ;5,63 ;5,22;3,78;4,56;10,56
96,88 ;5,75 ;6,25;8,22;5,33;22,08
96,88 ;5,88 ;10,81;4,89;4,48;22,08
96,88 ;6,00 ;4,41;5,66;2,62;16,32
96,88 ;6,13 ;14,66;12,25;6,14;10,08
96,88 ;6,25 ;6,03;2,55;2,92;8,88
96,88 ;6,38 ;11,28;6,36;6,58;6,72
96,88 ;6,50 ;8,47;6,31;7,33;1,44
96,88 ;6,63 ;7,12;5,16;5,83;0,48
96,88 ;6,75 ;7,66;5,66;7,38;0
96,88 ;6,88 ;6,03;4,98;5,5;0
96,88 ;7,00 ;8,56;7,14;7,14;0
96,88 ;7,13 ;6,09;6,05;6,58;0
96,88 ;7,25 ;6,59;6,95;8,06;0
96,88 ;7,38 ;6,44;7,16;7,33;0
96,88 ;7,50 ;6,06;6,97;6,38;0
96,88 ;7,63 ;8;8,23;8,23;0
96,88 ;7,75 ;8,31;9,73;8,61;0
96,88 ;7,88 ;8,97;10,47;9,86;0
96,88 ;8,00 ;9,44;9,89;10,14;0
96,88 ;8,13 ;10,12;9,94;10,06;0
96,88 ;8,25 ;10,03;10,81;10,62;0
96,88 ;8,38 ;11,12;10,59;11,75;0
96,88 ;8,50 ;12,06;10,39;11,67;0
96,88 ;8,63 ;11,38;10,05;10,75;0
96,88 ;8,75 ;11,19;10,33;10,88;0
96,88 ;8,88 ;11,22;10,2;11,09;0
96,88 ;9,00 ;10,28;10,39;11,97;0
96,88 ;9,13 ;9,38;10,84;12;0
96,88 ;9,25 ;9,12;11,27;11,7;0
96,88 ;9,38 ;8,34;9,94;11,02;0
96,88 ;9,50 ;7,59;9,89;10,33;0
96,88 ;9,63 ;6,31;9,98;10,97;0
96,88 ;9,75 ;5,5;10,58;12,3;0
96,88 ;9,88 ;5,47;11,73;12,75;0
96,88 ;10,00 ;5,28;11,34;11,31;0
97,00 ;-10,00 ;25,19;41,2;28,36;42
97,00 ;-9,88 ;21,91;40,7;29,84;40,32
97,00 ;-9,75 ;18,94;41,73;27,5;41,28
97,00 ;-9,63 ;17,03;43,17;26,36;38,88
97,00 ;-9,50 ;17,38;41,28;26,61;32,4
97,00 ;-9,38 ;17,28;41,98;28,47;29,04
97,00 ;-9,25 ;15,91;41,08;30,28;29,76
97,00 ;-9,13 ;15,88;40,98;26,86;33,12
97,00 ;-9,00 ;15,84;43,09;28,28;30,72
97,00 ;-8,88 ;17;53,25;26,94;36,24
97,00 ;-8,75 ;18,12;57,28;27,42;36,72
97,00 ;-8,63 ;18,91;48,77;29,72;37,2
97,00 ;-8,50 ;20,06;47,61;29,95;37,68
97,00 ;-8,38 ;20,44;45,83;30,33;38,64
97,00 ;-8,25 ;20,47;44,89;32,61;34,08
97,00 ;-8,13 ;19,09;43,86;39,12;33,36
97,00 ;-8,00 ;17,19;41,45;65,17;23,28
97,00 ;-7,88 ;18,84;38,44;82,14;13,2
97,00 ;-7,75 ;18,97;35,17;59,56;10,08
97,00 ;-7,63 ;19,25;33,77;32,44;15,12
97,00 ;-7,50 ;18,06;28,2;26,02;30,72
97,00 ;-7,38 ;18,19;25,3;23,33;38,64
97,00 ;-7,25 ;17,12;23,78;18,62;28,8
97,00 ;-7,13 ;16,28;24,11;19,44;29,04
97,00 ;-7,00 ;16,38;26,53;19,88;15,84
97,00 ;-6,88 ;17;26,52;19,36;10,56
97,00 ;-6,75 ;18,44;28,02;18,08;6,48
97,00 ;-6,63 ;19,22;28,34;17,77;9,12
97,00 ;-6,50 ;18,19;28,92;16,94;7,44
97,00 ;-6,38 ;17,94;27,64;17,06;12,48
97,00 ;-6,25 ;16,69;27,59;20,38;17,52
97,00 ;-6,13 ;15,56;28,31;18,89;18,96
97,00 ;-6,00 ;15,03;28,06;17,66;13,68
97,00 ;-5,88 ;14,03;29,48;20,83;8,64
97,00 ;-5,75 ;13;29,42;22,22;5,52
97,00 ;-5,63 ;13,53;31,75;20,09;4,56
97,00 ;-5,50 ;12,72;31,17;19,19;5,52
97,00 ;-5,38 ;13,69;32,5;17,09;6
97,00 ;-5,25 ;14,94;30,36;14,34;3,36
97,00 ;-5,13 ;14,97;28,52;14,55;7,92
97,00 ;-5,00 ;14,38;24,97;13,5;10,56
97,00 ;-4,88 ;14,5;23,16;13,78;16,8
97,00 ;-4,75 ;15,44;20,94;12,03;16,32
97,00 ;-4,63 ;14,19;20,34;12,31;11,52
97,00 ;-4,50 ;13,75;21,67;14,12;6,24
97,00 ;-4,38 ;12,75;22,78;16,31;4,56
97,00 ;-4,25 ;12,41;24,11;16,27;7,44
97,00 ;-4,13 ;12,81;25,52;17,02;5,52
97,00 ;-4,00 ;12,97;24,88;17,45;5,76
97,00 ;-3,88 ;13,03;24,28;16,53;6,24
97,00 ;-3,75 ;13,53;22,11;15,17;5,04
97,00 ;-3,63 ;12,06;19,66;13,98;4,56
97,00 ;-3,50 ;11,88;15,61;14,08;1,68
97,00 ;-3,38 ;13,06;13,56;13,77;2,4
97,00 ;-3,25 ;13,62;15,75;11,86;3,6
97,00 ;-3,13 ;15,06;15,91;10,75;4,08
97,00 ;-3,00 ;14,31;15,09;10,66;4,32
97,00 ;-2,88 ;13,59;14,27;10;4,56
97,00 ;-2,75 ;12,47;12,92;10,8;4,32
97,00 ;-2,63 ;11,62;12,2;12,72;4,56
97,00 ;-2,50 ;11,25;11,52;11,2;0,96
97,00 ;-2,38 ;10,88;10,09;12,27;1,2
97,00 ;-2,25 ;11,5;10,47;13,25;5,52
97,00 ;-2,13 ;11,16;10,88;11,53;8,4
97,00 ;-2,00 ;14,28;11,64;12,8;9,6
97,00 ;-1,88 ;13,84;11,64;11,34;8,16
97,00 ;-1,75 ;12,69;11,97;11,75;9,12
97,00 ;-1,63 ;12,34;12,38;11,2;6,24
97,00 ;-1,50 ;12,91;13,48;11,12;22,56
97,00 ;-1,38 ;13,97;12,84;12,34;29,04
97,00 ;-1,25 ;13,5;11,11;10,94;30,72
97,00 ;-1,13 ;13,81;11,14;11,45;33,12
97,00 ;-1,00 ;13,34;10,67;11,52;26,4
97,00 ;-0,88 ;13,97;12,03;11,36;24,48
97,00 ;-0,75 ;13,72;9,78;12,47;14,64
97,00 ;-0,63 ;13,59;12,27;9,66;10,08
97,00 ;-0,50 ;14,03;12,17;12,2;11,76
97,00 ;-0,38 ;12,59;11,38;11,64;15,12
97,00 ;-0,25 ;13,66;11,69;11,67;14,16
97,00 ;-0,13 ;12,69;11,62;9,25;9,84
97,00 ;0,00 ;13,22;12,97;9,44;3,12
97,00 ;0,13 ;13,84;12,02;10,16;2,88
97,00 ;0,25 ;12,19;11,84;11,08;2,4
97,00 ;0,38 ;11,75;11,44;10,39;3,36
97,00 ;0,50 ;11,56;9,61;9,73;3,84
97,00 ;0,63 ;12,56;10,86;8,89;0,24
97,00 ;0,75 ;11,44;8,61;10,58;0
97,00 ;0,88 ;13,22;9,09;11,48;0
97,00 ;1,00 ;10,91;9,97;10,58;0
97,00 ;1,13 ;10,5;11,88;11,03;0
97,00 ;1,25 ;10,38;12,53;10,78;0
97,00 ;1,38 ;9,25;10,86;8,94;8,64
97,00 ;1,50 ;10,94;12,17;10,16;11,52
97,00 ;1,63 ;8,59;11,78;9,16;6,24
97,00 ;1,75 ;10,44;13,52;11,19;2,4
97,00 ;1,88 ;10,09;11,92;9,77;1,68
97,00 ;2,00 ;10,06;13,39;10,38;0,24
97,00 ;2,13 ;9,94;13,7;10,73;0
97,00 ;2,25 ;9,78;12,27;8,44;0
97,00 ;2,38 ;10,69;11,88;8,78;0,72
97,00 ;2,50 ;11,19;10,39;11,7;0,24
97,00 ;2,63 ;10,53;13,06;10,86;0,96
97,00 ;2,75 ;9,03;11,77;8,27;3,36
97,00 ;2,88 ;10,59;13;9,3;2,64
97,00 ;3,00 ;9,12;10,86;4,97;0
97,00 ;3,13 ;9,75;10,56;6,03;0
97,00 ;3,25 ;13,62;15,38;9,78;0
97,00 ;3,38 ;13,16;15,42;4,33;0
97,00 ;3,50 ;7,72;5,86;1,2;0
97,00 ;3,63 ;23,59;5,28;8,78;0
97,00 ;3,75 ;6,59;3,41;1,89;0
97,00 ;3,88 ;4,25;2,2;1,64;0
97,00 ;4,00 ;3,12;2,14;3,8;0,96
97,00 ;4,13 ;5,94;2,33;1,69;0,48
97,00 ;4,25 ;2,59;2,5;1,94;3,84
97,00 ;4,38 ;24,69;14;12,27;7,68
97,00 ;4,50 ;9,81;12,02;10,92;9,84
97,00 ;4,63 ;1,97;5,02;1,02;13,2
97,00 ;4,75 ;8,41;9,02;2,58;18,72
97,00 ;4,88 ;18,16;11,89;10,62;25,2
97,00 ;5,00 ;14,47;18,62;18,78;30,96
97,00 ;5,13 ;8,12;7,19;5,05;25,2
97,00 ;5,25 ;14,44;13,88;11,34;18,48
97,00 ;5,38 ;1,31;2,89;2,64;12,48
97,00 ;5,50 ;6,22;6,36;5,44;5,04
97,00 ;5,63 ;6,84;6,59;5,61;16,56
97,00 ;5,75 ;6,66;5,47;3,97;19,2
97,00 ;5,88 ;9,91;6,19;4,06;12,72
97,00 ;6,00 ;7,91;7,36;3,59;12,72
97,00 ;6,13 ;11,12;7,53;4,33;10,56
97,00 ;6,25 ;7,28;3,19;2,92;6,48
97,00 ;6,38 ;17,12;9,47;8,31;2,4
97,00 ;6,50 ;7,09;3,58;3,55;0
97,00 ;6,63 ;6,53;5,03;6;0
97,00 ;6,75 ;8,16;8,34;8,06;0
97,00 ;6,88 ;5,88;4,34;5,7;0
97,00 ;7,00 ;7,78;7,89;6,97;0
97,00 ;7,13 ;6,5;6,16;6,41;0
97,00 ;7,25 ;7,81;7,28;6,62;0
97,00 ;7,38 ;6,72;6,5;6,39;0
97,00 ;7,50 ;6,59;7,61;6,95;0
97,00 ;7,63 ;7,78;8,94;8,17;0
97,00 ;7,75 ;7,34;8,72;7,81;0
97,00 ;7,88 ;8,94;10,83;8,17;0
97,00 ;8,00 ;9,31;10,06;9,03;0
97,00 ;8,13 ;10,47;8,91;10,8;0
97,00 ;8,25 ;10,81;9,48;10,19;0
97,00 ;8,38 ;11,34;10,12;10,22;0
97,00 ;8,50 ;11,78;10,5;10,64;0
97,00 ;8,63 ;10,84;10,34;10,27;0
97,00 ;8,75 ;10,72;10,09;11,02;0
97,00 ;8,88 ;10,53;9,34;11,03;0
97,00 ;9,00 ;10,41;9,11;10,94;0
97,00 ;9,13 ;9,47;9,69;11,11;0
97,00 ;9,25 ;9,16;10,38;11,23;0
97,00 ;9,38 ;8,41;10,75;11,52;0
97,00 ;9,50 ;7,31;12,08;11,44;0
97,00 ;9,63 ;6,28;12,45;13;0
97,00 ;9,75 ;5,88;12,23;12,92;0
97,00 ;9,88 ;5,5;13,05;12,77;0
97,00 ;10,00 ;5,5;10,84;11,62;0
97,13 ;-10,00 ;21,31;37,11;26,67;42,72
97,13 ;-9,88 ;19,56;37,47;28,61;43,2
97,13 ;-9,75 ;15,34;38,3;28,11;45,12
97,13 ;-9,63 ;14,78;40,09;27,59;40,56
97,13 ;-9,50 ;14,78;40,42;25,61;30
97,13 ;-9,38 ;15,44;41,14;26,28;31,92
97,13 ;-9,25 ;13,72;41,31;27,56;33,84
97,13 ;-9,13 ;14,47;40,5;25,81;43,92
97,13 ;-9,00 ;14,16;44,69;26,67;49,92
97,13 ;-8,88 ;14,84;51,81;26,64;56,4
97,13 ;-8,75 ;16,47;47,22;28,02;59,28
97,13 ;-8,63 ;18,28;45,95;28,58;66,72
97,13 ;-8,50 ;19,22;44,34;30,02;51,36
97,13 ;-8,38 ;19,28;42,84;31,92;39,84
97,13 ;-8,25 ;20,56;41,81;39,41;34,32
97,13 ;-8,13 ;19,06;39,09;56,66;26,16
97,13 ;-8,00 ;18,28;36,36;71,31;20,4
97,13 ;-7,88 ;19,28;33,3;60,77;21,12
97,13 ;-7,75 ;18,09;27,27;36,03;17,52
97,13 ;-7,63 ;18;25,03;26,97;17,52
97,13 ;-7,50 ;16,69;23,19;23,64;36,72
97,13 ;-7,38 ;15,91;23,08;19,19;27,6
97,13 ;-7,25 ;16,34;22,23;17,5;30,48
97,13 ;-7,13 ;15,44;22,16;18,38;28,56
97,13 ;-7,00 ;15,38;23,16;20,06;12,96
97,13 ;-6,88 ;15,84;23,64;20,56;6
97,13 ;-6,75 ;17,88;23,72;20,67;3,84
97,13 ;-6,63 ;16,34;23,95;18,83;5,52
97,13 ;-6,50 ;15,91;24,45;18,2;6
97,13 ;-6,38 ;15,88;26,14;20,02;13,68
97,13 ;-6,25 ;17,31;26,77;21,28;14,64
97,13 ;-6,13 ;15,78;27,38;19,47;17,28
97,13 ;-6,00 ;14;27,58;20,81;17,76
97,13 ;-5,88 ;14;27,61;23,94;14,88
97,13 ;-5,75 ;13,91;29,27;22,83;7,68
97,13 ;-5,63 ;12,66;29,28;20,95;5,04
97,13 ;-5,50 ;12,78;30,83;19,33;6,48
97,13 ;-5,38 ;13,47;31,81;18,77;4,8
97,13 ;-5,25 ;12,62;28,33;16,19;3,84
97,13 ;-5,13 ;13,38;24,78;15,27;3,6
97,13 ;-5,00 ;13,56;22,08;14,14;3,6
97,13 ;-4,88 ;13,91;20,47;13,34;17,28
97,13 ;-4,75 ;13,53;19,5;12,7;13,2
97,13 ;-4,63 ;13,62;19,39;12,95;11,76
97,13 ;-4,50 ;14,56;21,28;14,16;5,76
97,13 ;-4,38 ;14,44;23,39;13,41;2,16
97,13 ;-4,25 ;13,75;24,23;14,95;4,32
97,13 ;-4,13 ;13;23,39;16,86;5,28
97,13 ;-4,00 ;12,12;22,56;16,14;4,08
97,13 ;-3,88 ;13,09;20,47;14,62;4,08
97,13 ;-3,75 ;14,03;19,14;13,36;2,16
97,13 ;-3,63 ;13,41;16,28;12,02;1,44
97,13 ;-3,50 ;13,72;13,58;12,47;0,24
97,13 ;-3,38 ;13,59;13,88;12,31;0,24
97,13 ;-3,25 ;13,84;15,75;11,44;1,44
97,13 ;-3,13 ;14,91;16,09;11,48;0,72
97,13 ;-3,00 ;13,06;14,73;11,39;0
97,13 ;-2,88 ;13,38;14,38;11,2;1,2
97,13 ;-2,75 ;13;13,41;11,58;0,72
97,13 ;-2,63 ;10,97;12,42;11,39;0,96
97,13 ;-2,50 ;11,41;11,44;11,11;0,48
97,13 ;-2,38 ;11;9,55;10,2;0,96
