lon;lat;Model1;Model2;Model3;GSMaP
90,00 ;2,25 ;11,38;14,78;11,19;9,36
90,00 ;2,38 ;11,66;13,33;9,64;15,12
90,00 ;2,50 ;11,56;10,78;8,69;31,68
90,00 ;2,63 ;10,91;13,19;8,39;37,2
90,00 ;2,75 ;13,12;15,11;10,91;35,52
90,00 ;2,88 ;14,38;14,66;11,16;29,28
90,00 ;3,00 ;14,22;13,83;12,75;27,6
90,00 ;3,13 ;17,47;16,02;13,45;18,24
90,00 ;3,25 ;19,69;14,98;13,36;17,28
90,00 ;3,38 ;18,84;14,98;12,62;16,56
90,00 ;3,50 ;20,12;16,03;15,28;19,2
90,00 ;3,63 ;23,03;19,5;20,44;26,88
90,00 ;3,75 ;22,88;16,92;20,36;31,68
90,00 ;3,88 ;24,72;14,39;17,27;41,76
90,00 ;4,00 ;23,78;14,72;11,86;70,32
90,00 ;4,13 ;18,16;10,06;7,69;75,36
90,00 ;4,25 ;16,28;10,05;5,89;76,32
90,00 ;4,38 ;12,12;9,89;5,73;77,52
90,00 ;4,50 ;10,47;10,86;6,31;77,28
90,00 ;4,63 ;7,91;10,39;6,14;76,8
90,00 ;4,75 ;9,41;11,08;6,11;80,64
90,00 ;4,88 ;8,97;10,94;6,06;77,52
90,00 ;5,00 ;7,59;11,44;6,16;41,28
90,00 ;5,13 ;7,41;10,38;6,73;34,32
90,00 ;5,25 ;7,53;8,31;6,56;31,2
90,00 ;5,38 ;8,31;7,48;7,02;20,16
90,00 ;5,50 ;8,28;7,59;7,56;12,96
90,00 ;5,63 ;6,88;7,58;7,61;14,16
90,00 ;5,75 ;7,34;6,69;6,47;16,56
90,00 ;5,88 ;7,5;7,14;6,8;15,12
90,00 ;6,00 ;8,09;7,09;5,41;20,16
90,00 ;6,13 ;6,66;5,31;5,56;20,16
90,00 ;6,25 ;7,31;4,66;4,11;20,88
90,00 ;6,38 ;4,69;5,06;4,2;18,48
90,00 ;6,50 ;4,75;5,7;4,31;12,72
90,00 ;6,63 ;3,25;5,58;3,7;11,76
90,00 ;6,75 ;3,62;5,44;3,25;12,72
90,00 ;6,88 ;3,12;5,12;2,3;13,68
90,00 ;7,00 ;2,62;6,05;2,69;22,56
90,00 ;7,13 ;2,75;7,09;1,8;33,36
90,00 ;7,25 ;2,38;6,41;1,75;32,4
90,00 ;7,38 ;2,22;6,92;1,55;36,24
90,00 ;7,50 ;2;6,17;0,94;35,76
90,00 ;7,63 ;1,84;5,44;1,25;35,76
90,00 ;7,75 ;2,28;5,89;1,11;32,4
90,00 ;7,88 ;2,34;6,73;1,09;27,36
90,00 ;8,00 ;1,84;6,81;1,58;23,04
90,00 ;8,13 ;2,16;4,12;0,66;16,8
90,00 ;8,25 ;1,88;2,75;0,77;7,92
90,00 ;8,38 ;2,16;4,48;0,66;1,92
90,00 ;8,50 ;1,91;4,05;0,7;0,24
90,00 ;8,63 ;1,41;2,97;1,05;0
90,00 ;8,75 ;1,53;3,62;0,41;0
90,00 ;8,88 ;0,94;1,98;0,17;0
90,00 ;9,00 ;0,88;1,64;0,48;0
90,00 ;9,13 ;0,88;1,3;0,12;0
90,00 ;9,25 ;0,69;1,77;0,08;0
90,00 ;9,38 ;0,59;1,56;0,11;0
90,00 ;9,50 ;0,5;0,98;0,05;0
90,00 ;9,63 ;0,34;0,72;0,05;0
90,00 ;9,75 ;0,56;0,66;0,05;0
90,00 ;9,88 ;0,66;0,09;0,08;0
90,00 ;10,00 ;0,38;0,08;0,09;0
90,13 ;-10,00 ;18,41;11,11;14,09;75,12
90,13 ;-9,88 ;16,84;9,98;14,25;81,84
90,13 ;-9,75 ;17,41;11,02;14,45;85,2
90,13 ;-9,63 ;18,69;11,23;14,03;80,4
90,13 ;-9,50 ;21,47;10,12;14,8;70,08
90,13 ;-9,38 ;22,16;9,59;14,36;64,56
90,13 ;-9,25 ;20,88;9,94;14,08;56,64
90,13 ;-9,13 ;20,12;9,95;14,05;52,56
90,13 ;-9,00 ;21,28;9,38;15,72;42,24
90,13 ;-8,88 ;19,5;8,14;17,59;41,52
90,13 ;-8,75 ;19;7,66;20,8;43,68
90,13 ;-8,63 ;17,44;8,3;28,03;57,12
90,13 ;-8,50 ;16,12;10,27;37,14;71,52
90,13 ;-8,38 ;16,09;10,61;52,78;81,6
90,13 ;-8,25 ;16,47;12,02;50,89;62,16
90,13 ;-8,13 ;16,66;12,8;35,03;57,36
90,13 ;-8,00 ;16,28;16,83;24,17;78
90,13 ;-7,88 ;16,09;17,45;18,95;84
90,13 ;-7,75 ;16,59;16,17;17,02;90,24
90,13 ;-7,63 ;16,16;17,33;17,77;86,4
90,13 ;-7,50 ;15,47;16,67;22,69;68,88
90,13 ;-7,38 ;15,03;15,27;24,66;59,76
90,13 ;-7,25 ;14,09;15,78;25,83;61,2
90,13 ;-7,13 ;13,78;15,94;25,77;59,52
90,13 ;-7,00 ;15,53;18,5;25,44;66,48
90,13 ;-6,88 ;17,22;17,92;23,77;66,24
90,13 ;-6,75 ;15,78;18,17;22,84;48,48
90,13 ;-6,63 ;13,59;22,45;22,2;42
90,13 ;-6,50 ;13,09;25,55;22,61;25,92
90,13 ;-6,38 ;11,31;25,77;24,08;17,04
90,13 ;-6,25 ;13,5;25,05;23,38;14,88
90,13 ;-6,13 ;14,75;22,39;22,72;11,76
90,13 ;-6,00 ;16,09;22,36;23,38;10,08
90,13 ;-5,88 ;16,75;22,08;25,11;12
90,13 ;-5,75 ;18,34;22,28;27,78;15,12
90,13 ;-5,63 ;19,16;21,86;26,91;14,16
90,13 ;-5,50 ;17,97;22,22;30,72;9,6
90,13 ;-5,38 ;17,72;23,42;32,61;7,92
90,13 ;-5,25 ;19,53;27,69;29,58;8,64
90,13 ;-5,13 ;19,56;29,86;27,41;10,32
90,13 ;-5,00 ;19,44;26,47;29,97;13,92
90,13 ;-4,88 ;20,97;27,2;28,72;13,92
90,13 ;-4,75 ;20,22;26,09;26,78;6,24
90,13 ;-4,63 ;17,59;24,44;27,92;12,72
90,13 ;-4,50 ;18,53;24,69;27,88;5,04
90,13 ;-4,38 ;20,53;26,3;31,47;4,56
90,13 ;-4,25 ;21,84;26,31;27;4,56
90,13 ;-4,13 ;20,44;27,89;23,2;3,6
90,13 ;-4,00 ;18,31;28,84;21,84;0,72
90,13 ;-3,88 ;20,88;27,45;20,45;1,92
90,13 ;-3,75 ;21,72;30,14;23,41;1,68
90,13 ;-3,63 ;25,38;33,17;23,8;0
90,13 ;-3,50 ;26,06;38,25;22,98;0
90,13 ;-3,38 ;20,78;36,31;21,11;0
90,13 ;-3,25 ;19,5;31,17;21,17;0
90,13 ;-3,13 ;16,56;29,45;20,39;0
90,13 ;-3,00 ;18;27,97;21,08;0
90,13 ;-2,88 ;19,66;23,88;20,84;0
90,13 ;-2,75 ;22,28;21,73;16,31;0
90,13 ;-2,63 ;23,75;21,17;13,22;0
90,13 ;-2,50 ;20,28;22,23;9,53;0
90,13 ;-2,38 ;20,62;22,97;7,88;0
90,13 ;-2,25 ;20,59;22,09;7,64;0
90,13 ;-2,13 ;19,25;22,48;8,33;0
90,13 ;-2,00 ;18,34;21,92;8,53;0
90,13 ;-1,88 ;19,28;20,47;7,75;0
90,13 ;-1,75 ;18,72;21,36;10,55;0
90,13 ;-1,63 ;19,28;20,69;13,22;0
90,13 ;-1,50 ;16,41;20,48;14,19;0
90,13 ;-1,38 ;16,38;19,47;13,53;0
90,13 ;-1,25 ;17,5;18,66;11,58;0
90,13 ;-1,13 ;14,69;17,72;11,2;0
90,13 ;-1,00 ;13,53;17,72;9,25;0,96
90,13 ;-0,88 ;15,19;18,44;8,8;0
90,13 ;-0,75 ;13,75;16,19;8,41;0
90,13 ;-0,63 ;14,12;14,72;6,44;0
90,13 ;-0,50 ;14,84;15,38;4,3;0
90,13 ;-0,38 ;15,59;15,39;5,02;1,92
90,13 ;-0,25 ;14,75;18,66;4,64;2,64
90,13 ;-0,13 ;15,69;16,98;5,27;5,04
90,13 ;0,00 ;15,19;16;6,23;9,36
90,13 ;0,13 ;15,19;15,97;7,28;6,24
90,13 ;0,25 ;15,72;16,97;8,3;2,4
90,13 ;0,38 ;15,94;15,86;8,62;2,64
90,13 ;0,50 ;14,84;16,08;7,48;13,2
90,13 ;0,63 ;14,56;19,2;7,69;9,36
90,13 ;0,75 ;15,19;19,31;7,06;7,68
90,13 ;0,88 ;14,41;19,5;8,06;4,08
90,13 ;1,00 ;12,38;16,44;7,22;5,28
90,13 ;1,13 ;12,38;13,95;7,81;5,28
90,13 ;1,25 ;11,91;13,31;7,64;7,68
90,13 ;1,38 ;11,84;14,5;7,92;13,68
90,13 ;1,50 ;10,28;14,12;8,28;11,52
90,13 ;1,63 ;10,09;13,27;10,53;6,72
90,13 ;1,75 ;10,22;11,47;12,25;7,68
90,13 ;1,88 ;10,12;11,67;11,72;5,28
90,13 ;2,00 ;9,88;12,47;10,8;5,52
90,13 ;2,13 ;10,38;11,8;10,67;8,4
90,13 ;2,25 ;10,62;13,31;10,8;9,12
90,13 ;2,38 ;11,56;11,88;8,12;10,08
90,13 ;2,50 ;12,12;11,92;7,97;28,56
90,13 ;2,63 ;12,53;13,25;8,09;32,64
90,13 ;2,75 ;13,16;14,3;11,61;34,08
90,13 ;2,88 ;15,72;14,69;10,53;30
90,13 ;3,00 ;16,06;14,55;12,12;24,72
90,13 ;3,13 ;18,88;14,81;13,66;18
90,13 ;3,25 ;19,31;15,19;12,41;17,76
90,13 ;3,38 ;17,88;16,41;12,11;16,56
90,13 ;3,50 ;20,34;17,38;15,09;18,72
90,13 ;3,63 ;25,75;19,39;20,27;24,48
90,13 ;3,75 ;26,72;16,31;19,78;27,6
90,13 ;3,88 ;26,69;14,11;16,3;36,48
90,13 ;4,00 ;23,84;12,59;10,98;60,72
90,13 ;4,13 ;16,69;10,36;7,39;70,56
90,13 ;4,25 ;18,97;9,92;6,19;75,12
90,13 ;4,38 ;15,09;9,38;5,25;84,48
90,13 ;4,50 ;11,06;10,64;6,61;67,68
90,13 ;4,63 ;8,81;10,09;6,39;64,32
90,13 ;4,75 ;9,5;10,44;6,83;60,96
90,13 ;4,88 ;10,69;10,52;7,17;51,84
90,13 ;5,00 ;8,06;11,38;7,2;40,8
90,13 ;5,13 ;8;10,31;6,86;31,2
90,13 ;5,25 ;8,03;7,56;6,38;21,36
90,13 ;5,38 ;8,75;6,69;6,16;14,88
90,13 ;5,50 ;9,47;6,5;6,69;12,96
90,13 ;5,63 ;8;6,17;5,78;13,68
90,13 ;5,75 ;7,97;5,84;5,78;13,2
90,13 ;5,88 ;7,69;5,39;6,33;18
90,13 ;6,00 ;7,81;4,91;5,23;21,12
90,13 ;6,13 ;7,53;4,19;5,06;21,84
90,13 ;6,25 ;6,59;4,47;4,84;20,88
90,13 ;6,38 ;4,84;5,38;4,8;17,76
90,13 ;6,50 ;4,75;5,09;4;13,2
90,13 ;6,63 ;3,81;5,36;4;12,72
90,13 ;6,75 ;3,41;5;3,58;12,24
90,13 ;6,88 ;3,09;4,69;2,67;13,2
90,13 ;7,00 ;2,59;5,81;2,86;21,6
90,13 ;7,13 ;2,59;6,66;1,67;29,52
90,13 ;7,25 ;2,44;6,39;1,98;28,56
90,13 ;7,38 ;2,28;6,69;1,5;32,16
90,13 ;7,50 ;1,97;6,75;0,91;30
90,13 ;7,63 ;2,09;5,98;1,09;22,56
90,13 ;7,75 ;2,28;5,98;0,95;20,88
90,13 ;7,88 ;2,38;5,97;1,08;19,44
